Date,Open,High,Low,Close,Adj Close,Volume
Jan,0.000293,0.000299,0.00026,0.000268,0.000268,1463600
Feb,0.000268,0.000325,0.000267,0.000298,0.000298,2215910
Mar,0.000298,0.000307,0.000275,0.000277,0.000277,883563
Apr,0.000276,0.00031,0.000267,0.000292,0.000292,993004
May,0.000293,0.000299,0.000284,0.000288,0.000288,539140
Jun,0.000288,0.000301,0.000285,0.000298,0.000298,620222
Jul,0.000298,0.000318,0.000295,0.000313,0.000313,739197
Aug,0.000314,0.000353,0.00031,0.000348,0.000348,1277840
Sep,0.000347,0.000383,0.000332,0.000375,0.000375,2393610
Oct,0.000374,0.000467,0.000373,0.000451,0.000451,4722610
Nov,0.00045,0.000452,0.000359,0.000375,0.000375,2907080
Dec,0.000376,0.000414,0.000376,0.000392,0.000392,2115710
